subj,obs_1stprodN_mo,obs_1stprod_any_mo,rep_1stprodN_mo,rep_1stprod_any_mo,gender
794,12,11,11,11,F
294,11,11,11,8,M
126,11,11,16,15,M
255,NA,10,NA,8,M
465,12,10,12,12,F
357,13,13,8,7,M
521,10,10,7,7,F
274,15,15,14,12,M
828,12,11,9,9,F
309,12,12,11,11,M
749,11,10,7,7,M
623,12,12,11,11,M
279,12,11,17,12,F
626,9,9,16,13,M
664,12,12,13,13,M
129,13,13,12,12,F
860,13,13,10,10,M
378,10,10,12,12,F
109,10,10,12,11,F
342,13,12,9,9,M
268,10,10,11,11,F
172,17,13,14,14,M
189,15,11,11,11,M
986,15,14,12,12,F
861,11,10,13,10,M
625,12,12,12,12,F
926,9,9,12,7,F
944,14,9,12,10,M
515,14,13,13,13,F
375,14,12,11,11,F
738,13,13,9,9,M
575,14,10,9,9,M
639,12,11,15,11,F
168,14,14,15,15,F
737,12,10,14,14,M
518,11,11,13,12,F
151,16,14,14,12,F
893,16,10,NA,14,M
424,12,11,12,12,M
351,10,10,12,12,F
950,NA,17,NA,12,F
563,11,11,12,8,F
288,17,15,7,7,M
220,11,9,11,11,M
